county_code,farm_acres,cropland_acres,irrigated_acres,crop_totals_sales_measured_in,farm_income_1,xmas_tree_sale,fertilizer_use,chemical_use,fuel_use_$,hired_labor_cost,contract_labor_cost,worker_number,emus_sold,bee_colonies,honey_sold,ornamental_fish,bison_sale,aquatic_plants,mushroom_spawn_sale,grazing_rotation,producer_age_group,state_lower,county,county_acreage_2000,population
001,"113,236","36,890","1,411","12,535,000","18,279",NA,"2,295,000","1,305,000","1,099,000","1,985,000","295,000",451,NA,137,"24,000",NA,NA,NA,NA,50,57,alabama,Autauga,386848,58805
001,"5,554,963","30,354","11,878","3,613,000","-4,575",NA,"286,000","39,000","10,180,000","2,058,000","456,000","1,581",NA,43,0,NA,NA,NA,NA,248,59.4,arizona,Apache,7179788.8,66021
001,"414,354","358,999","314,325","213,439,000","155,173",NA,"32,662,000","29,196,000","12,009,000","11,844,000","909,000",678,NA,0,0,NA,NA,NA,NA,12,56.6,arkansas,Arkansas,661625.6,17149
001,"183,282","17,276","7,511","35,752,000","38,471",1,"1,892,000","1,954,000","2,504,000","11,052,000","5,151,000",593,NA,"127,712",0,NA,NA,NA,NA,47,59.2,california,Alameda,525536,1682353
001,"705,289","586,828","21,557","103,563,000","26,355",3,"7,583,000","8,339,000","6,336,000","23,961,000","3,087,000","1,435",NA,226,0,NA,4,2,NA,82,54.8,colorado,Adams,766534.4,519572
001,"52,245","4,562",229,"22,177,000","13,527",42,"645,000","338,000","2,296,000","23,130,000","419,000","1,323",NA,499,"54,000",NA,NA,NA,NA,56,57.7,connecticut,Fairfield,535654.4,NA
001,"182,396","155,657","57,837","109,044,000","196,499",9,"17,420,000","10,404,000","6,563,000","14,004,000","3,890,000",923,NA,141,"6,000",NA,NA,NA,NA,74,56.2,delaware,Kent,512076.8,181851
001,"178,182","55,874","10,352","75,208,000","11,361",4,"6,817,000","4,918,000","5,818,000","19,723,000","4,275,000","2,881",NA,"20,306","1,250,000",2,NA,2,NA,235,59.6,florida,Alachua,620236.8,278468
001,"128,297","85,107","13,716","60,900,000","111,193",NA,"9,575,000","8,492,000","5,017,000","8,060,000","2,881,000","1,131",NA,0,0,NA,NA,NA,NA,16,55.6,georgia,Appling,327750.4,18444
001,"664,444","82,295","6,662","160,040,000","11,834",10,"12,882,000","5,006,000","10,930,000","75,185,000","13,712,000","6,093",NA,"16,444","4,402,000",13,1,6,NA,498,60.6,hawaii,Hawaii,3255488,200629
001,"112,370","62,860","57,263","42,835,000","20,801",4,"5,997,000","2,988,000","5,181,000","15,901,000","922,000","1,883",NA,"6,808","121,000",NA,NA,NA,NA,246,56.7,idaho,Ada,678611.2,494967
001,"477,683","382,809","10,957","197,323,000","68,384",NA,"26,446,000","16,618,000","9,459,000","8,809,000","1,014,000",625,NA,264,"43,000",NA,NA,NA,NA,153,57.2,illinois,Adams,557619.2,65737
001,"212,963","194,386",454,"98,747,000","60,526",NA,"11,867,000","8,541,000","5,994,000","10,174,000","1,554,000",911,NA,853,"74,000",NA,NA,NA,NA,85,49.1,indiana,Adams,217555.2,35809
001,"334,850","261,525",90,"103,137,000","59,738",1,"16,306,000","10,898,000","6,004,000","8,244,000","747,000",682,NA,12,0,NA,NA,NA,NA,82,59.4,iowa,Adair,364998.39999999997,7496
001,"239,906","133,036",548,"31,210,000","24,764",NA,"4,321,000","3,034,000","2,848,000","1,394,000","238,000",197,NA,0,0,NA,NA,NA,NA,43,58.4,kansas,Allen,323315.2,12526
001,"172,062","76,836",16,"18,138,000","16,291",1,"4,596,000","1,660,000","2,906,000","2,134,000","2,024,000",560,NA,192,"7,000",NA,NA,NA,NA,200,56.4,kentucky,Adair,263827.2,18903
001,"265,544","207,897","86,089","85,304,000","25,165",NA,"13,459,000","14,082,000","9,463,000","8,791,000","1,881,000",787,NA,24,NA,NA,NA,NA,NA,121,56.3,louisiana,Acadia,420876.8,57576
001,"55,613","24,563","1,041","15,225,000","14,466",16,"821,000","646,000","1,663,000","7,454,000","194,000",769,NA,174,"26,000",NA,NA,NA,NA,71,55.5,maine,Androscoggin,318227.2,111139
001,"35,282","13,245",38,"3,042,000","1,156",4,"480,000","188,000","365,000","315,000","13,000",89,NA,84,"11,000",NA,NA,NA,NA,89,58,maryland,Allegany,275084.8,68106
001,"6,564","1,642","1,124","9,333,000","10,916",2,"353,000","525,000","1,129,000","7,785,000","329,000",512,NA,270,0,NA,NA,NA,NA,11,57.7,massachusetts,Barnstable,835596.7999999999,228996
001,"36,431","24,086",60,"5,008,000","10,877",3,"508,000","142,000","746,000","909,000",0,103,NA,6,"511,000",NA,NA,NA,NA,17,57.8,michigan,Alcona,1145945.6,10167
001,"105,730","54,095","2,969","7,045,000","2,097",6,"705,000","545,000","1,259,000","590,000","188,000",161,0,270,"14,000",NA,NA,NA,NA,78,59.3,minnesota,Aitkin,1276998.4,15697
001,"69,404","21,757",0,"6,065,000","1,618",NA,"581,000","704,000","758,000","1,035,000","101,000",174,NA,NA,NA,NA,NA,NA,NA,22,60.4,mississippi,Adams,311200,29538
001,"267,920","141,865",51,"34,502,000","15,867",1,"4,639,000","4,031,000","4,000,000","2,150,000","131,000",299,NA,51,0,NA,NA,NA,NA,130,57.3,missouri,Adair,364364.80000000005,25314
001,"1,233,811","162,767","263,772","37,220,000","57,223",NA,"6,036,000","1,466,000","4,639,000","13,856,000","855,000",793,NA,NA,0,NA,1,NA,NA,109,58.4,montana,Beaverhead,3566105.6,9371
001,"340,016","300,549","236,984","173,393,000","124,979",1,"19,758,000","17,138,000","11,634,000","9,940,000","631,000",621,NA,64,0,NA,NA,NA,NA,51,54.9,nebraska,Adams,361062.39999999997,31205
001,"249,832","47,403","45,036","19,873,000","56,870",NA,"1,578,000","1,014,000","2,954,000","9,412,000","603,000",520,NA,0,"2,000",NA,NA,NA,NA,48,59.2,nevada,Churchill,3214963.2,25516
001,"25,406","5,233",92,"4,320,000",-65,20,"264,000","70,000","542,000","2,021,000","62,000",240,NA,0,0,NA,NA,NA,NA,26,59.8,new hampshire,Belknap,299872,63705
001,"29,016","17,756","11,583","119,103,000","73,176",37,"4,885,000","4,719,000","3,626,000","36,031,000","8,301,000","6,769",NA,670,"71,000",NA,NA,NA,NA,32,56.4,new jersey,Atlantic,429728,274534
001,"221,495","6,476","4,250","4,825,000","-3,827",NA,"426,000","131,000","1,227,000","2,730,000","367,000",452,NA,225,"10,000",NA,NA,5,NA,101,59.5,new mexico,Bernalillo,747936,676444
001,"59,564","34,535","1,121","36,276,000","18,879",9,"968,000","417,000","1,678,000","9,991,000","479,000",844,NA,844,"155,000",1,NA,NA,NA,70,59,new york,Albany,341254.4,314848
001,"80,042","33,802",710,"14,739,000","11,162",NA,"2,713,000","1,303,000","1,940,000","3,520,000","703,000",450,NA,446,"49,000",NA,NA,NA,NA,142,58.3,north carolina,Alamance,278252.8,171415
001,"599,579","388,019",NA,"30,430,000","38,503",NA,"12,851,000","7,079,000","3,098,000","3,940,000","554,000",220,NA,"8,330","3,678,000",NA,NA,NA,NA,74,56.4,north dakota,Adams,632857.6,2200
001,"165,947","89,226",296,"25,082,000","8,516",1,"4,584,000","1,695,000","2,459,000","1,285,000","235,000",540,NA,222,"8,000",NA,NA,NA,NA,151,57.6,ohio,Adams,374905.6,27477
001,"238,815","47,565",423,"3,286,000","41,575",NA,"1,829,000","520,000","3,778,000","5,804,000","1,626,000",679,NA,0,"5,000",NA,NA,NA,NA,194,56.7,oklahoma,Adair,369299.19999999995,19495
001,"754,585","130,460","108,498","33,135,000","20,240",NA,"6,622,000","3,654,000","4,627,000","10,141,000","758,000",679,NA,70,NA,NA,NA,NA,NA,170,58.5,oregon,Baker,1976595.2,16668
001,"166,227","128,436","2,150","112,433,000","42,565",14,"7,013,000","14,276,000","6,409,000","47,660,000","3,838,000","3,369",NA,"2,888","425,000",NA,NA,NA,NA,177,54.6,pennsylvania,Adams,333772.8,103852
001,"1,331",691,4,"374,000","-2,204",NA,"41,000","3,000","55,000","752,000",0,86,NA,0,0,NA,NA,1,NA,1,63.6,rhode island,Bristol,28614.4,50793
001,"88,504","18,796",278,"1,436,000",533,NA,"1,108,000","175,000","638,000","598,000","112,000",202,NA,86,"7,000",NA,NA,NA,NA,133,56.1,south carolina,Abbeville,327072,24295
003,"354,554","228,778",NA,"64,497,000","53,244",NA,"11,573,000","7,547,000","4,629,000","4,194,000","209,000",318,NA,30,0,NA,NA,NA,NA,55,55.8,south dakota,Aurora,456019.19999999995,2747
001,"43,462","14,728",101,"1,356,000","-4,757",1,"633,000","95,000","502,000","989,000","64,000",194,NA,466,"58,000",NA,NA,NA,NA,81,56,tennessee,Anderson,220684.8,77123
001,"400,571","63,774","3,089","15,551,000","-2,489",1,"3,846,000","1,585,000","4,378,000","7,888,000","1,499,000",861,NA,"63,023","818,000",NA,NA,NA,NA,284,61.1,texas,Anderson,689888,57922
001,"157,030","44,416","40,240","20,061,000","155,354",NA,"1,860,000","627,000","4,046,000","24,557,000","3,643,000",812,NA,12,0,NA,NA,NA,NA,24,56.1,utah,Beaver,1659059.2000000002,7072
001,"169,874","107,751",424,"25,415,000","50,213",21,"4,237,000","1,953,000","6,919,000","27,900,000","679,000","1,316",NA,"5,993","893,000",NA,1,1,NA,145,55.9,vermont,Addison,517312,37363
001,"76,761","57,743","5,078","46,913,000","188,764",NA,"5,283,000","4,163,000","2,882,000","11,963,000","1,369,000",567,NA,30,"6,000",2,NA,NA,NA,9,58.7,virginia,Accomack,838432,33413
001,"972,095","745,850","127,913","259,825,000","97,358",NA,"39,120,000","36,174,000","16,801,000","43,991,000","5,297,000","3,404",NA,129,0,NA,NA,NA,NA,42,57.5,washington,Adams,1235001.6,20613
001,"94,627","26,717",30,"2,034,000","-1,186",NA,"572,000","44,000","824,000","276,000","128,000",231,NA,70,"8,000",NA,NA,NA,NA,136,54.1,west virginia,Barbour,219360,15465
001,"117,206","84,544","50,949",0,"50,657",10,"16,288,000","7,404,000","4,224,000","17,456,000",0,969,0,69,"14,000",NA,NA,NA,NA,21,57.6,wisconsin,Adams,440646.4,20654
